"experimentId","experimentMode","step","trialNumber","mutation","mutationOrder","verdict","ship","caution","reject","source","model","promptVersion","elapsedMs","inputTokens","outputTokens","createdAt","code"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","1","1","remove-validation","remove-validation","CAUTION","4","63","33","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","470","619","87","2026-09-22T07:48:36.357Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","1","2","remove-validation","remove-validation","CAUTION","3","60","37","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","355","619","87","2026-09-22T07:48:36.357Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","1","3","remove-validation","remove-validation","CAUTION","3","60","37","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","330","619","87","2026-09-22T07:48:36.357Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","2","1","swallow-exception","swallow-exception","REJECT","0","33","67","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","405","620","85","2026-09-22T07:48:37.968Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch {
    return null;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","2","2","swallow-exception","swallow-exception","REJECT","1","28","71","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","332","620","85","2026-09-22T07:48:37.968Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch {
    return null;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","2","3","swallow-exception","swallow-exception","REJECT","1","35","64","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","349","620","85","2026-09-22T07:48:37.968Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch {
    return null;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","3","1","sql-concat","sql-concat","REJECT","0","0","100","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","358","635","85","2026-09-22T07:48:39.337Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  try {
    const result = await db.query(
      `SELECT id, email FROM users WHERE id = '${id}'`
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","3","2","sql-concat","sql-concat","REJECT","0","0","100","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","385","635","85","2026-09-22T07:48:39.337Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  try {
    const result = await db.query(
      `SELECT id, email FROM users WHERE id = '${id}'`
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","3","3","sql-concat","sql-concat","REJECT","0","0","100","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","343","635","85","2026-09-22T07:48:39.337Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  try {
    const result = await db.query(
      `SELECT id, email FROM users WHERE id = '${id}'`
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","4","1","add-eval","add-eval","REJECT","0","0","100","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","370","642","85","2026-09-22T07:48:40.646Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  eval(id);

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","4","2","add-eval","add-eval","REJECT","0","0","100","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","330","642","85","2026-09-22T07:48:40.646Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  eval(id);

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
"e9e9a3b1-d3e6-442b-9f06-94b14e0285f4","isolated","4","3","add-eval","add-eval","REJECT","0","0","100","vercel-ai-gateway","typesafe-ai/jev","production-readiness-v1","349","642","85","2026-09-22T07:48:40.646Z","type User = {
  id: string;
  email: string;
};

export async function findUser(id: string): Promise<User | null> {
  if (!id.trim()) {
    throw new Error(""id is required"");
  }

  eval(id);

  try {
    const result = await db.query(
      ""SELECT id, email FROM users WHERE id = ?"",
      [id]
    );

    return result.rows[0] ?? null;
  } catch (error) {
    logger.error({ error, id }, ""Failed to find user"");
    throw error;
  }
}"
